requestday,pagetype,date,bucket,count
1406419200,Page2,1406434800,1500.0,1
1406419200,Page2,1406434800,1525.0,1
1406419200,Page2,1406434800,1600.0,5
1406419200,Page2,1406434800,1650.0,1
1406419200,Page2,1406434800,1675.0,2
1406419200,Page2,1406434800,1700.0,1
1406419200,Page2,1406434800,1725.0,3
1406419200,Page2,1406434800,1775.0,1
1406419200,Page2,1406434800,1800.0,2
1406419200,Page2,1406434800,1900.0,3
1406419200,Page2,1406434800,1950.0,2
1406419200,Page2,1406434800,2000.0,2
1406419200,Page2,1406434800,2025.0,1
1406419200,Page2,1406434800,2050.0,1
1406419200,Page2,1406434800,2075.0,2
1406419200,Page2,1406434800,2200.0,1
1406419200,Page2,1406434800,2225.0,3
1406419200,Page2,1406434800,2250.0,2
1406419200,Page2,1406434800,2350.0,1
1406419200,Page2,1406434800,2375.0,1
1406419200,Page2,1406434800,2450.0,2
1406419200,Page2,1406434800,2550.0,1
1406419200,Page2,1406434800,2575.0,1
1406419200,Page2,1406434800,2650.0,2
1406419200,Page2,1406434800,2675.0,1
1406419200,Page2,1406434800,2700.0,1
1406419200,Page2,1406434800,2725.0,3
1406419200,Page2,1406434800,2750.0,1
1406419200,Page2,1406434800,2775.0,2
1406419200,Page2,1406434800,2800.0,1
1406419200,Page2,1406434800,2850.0,1
1406419200,Page2,1406434800,2875.0,1
1406419200,Page2,1406434800,2900.0,2
1406419200,Page2,1406434800,2925.0,2
1406419200,Page2,1406434800,2950.0,4
1406419200,Page2,1406434800,3025.0,1
1406419200,Page2,1406434800,3175.0,3
1406419200,Page2,1406434800,3225.0,1
1406419200,Page2,1406434800,3275.0,1
1406419200,Page2,1406434800,3300.0,1
1406419200,Page2,1406434800,3350.0,1
1406419200,Page2,1406434800,3375.0,2
1406419200,Page2,1406434800,3450.0,1
1406419200,Page2,1406434800,3550.0,1
1406419200,Page2,1406434800,3575.0,1
1406419200,Page2,1406434800,3700.0,1
1406419200,Page2,1406434800,3750.0,1
1406419200,Page2,1406434800,3825.0,1
1406419200,Page2,1406434800,4000.0,1
1406419200,Page2,1406434800,4025.0,1
1406419200,Page2,1406434800,4050.0,1
1406419200,Page2,1406434800,4075.0,1
1406419200,Page2,1406434800,4100.0,1
1406419200,Page2,1406434800,4175.0,1
1406419200,Page2,1406434800,4225.0,1
1406419200,Page2,1406434800,4325.0,1
1406419200,Page2,1406434800,4350.0,1
1406419200,Page2,1406434800,4400.0,1
1406419200,Page2,1406434800,4625.0,1
1406419200,Page2,1406434800,4675.0,1
1406419200,Page2,1406434800,4750.0,1
1406419200,Page2,1406434800,5075.0,1
1406419200,Page2,1406434800,5125.0,1
1406419200,Page2,1406434800,5200.0,1
1406419200,Page2,1406434800,5525.0,1
1406419200,Page2,1406434800,6000.0,1
1406419200,Page2,1406434800,6025.0,1
1406419200,Page2,1406434800,6050.0,1
1406419200,Page2,1406434800,6150.0,1
1406419200,Page2,1406434800,6250.0,1
1406419200,Page2,1406434800,6550.0,1
1406419200,Page2,1406434800,6675.0,1
1406419200,Page2,1406434800,7050.0,1
1406419200,Page2,1406434800,7075.0,1
1406419200,Page2,1406434800,7100.0,1
1406419200,Page2,1406434800,7250.0,1
1406419200,Page2,1406434800,7700.0,1
1406419200,Page2,1406434800,8300.0,1
1406419200,Page2,1406434800,8375.0,1
1406419200,Page2,1406434800,8600.0,1
1406419200,Page2,1406434800,8900.0,1
1406419200,Page2,1406434800,9175.0,1
1406419200,Page2,1406434800,10000.0,8
1406419200,Page2,1406435100,350.0,1
1406419200,Page2,1406435100,450.0,1
